"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.
Monолитная плита ПМ1	Устройство подливки толщиной 20 мм под оборудование	0,25	0	0,25	м2
Монолитная плита ПМ1	Гидроизоляция боковой поверхности ПМ1 в два слоя битумной мастикой (высота 0,3м)	33	0	33	м2
Окраска металлоконструкций	Очистка поверхности металлических конструкций от лакокрасочных покрытий смывкой	3,7	0	3,7	м2
Окраска металлоконструкций	Струйная очистка металлоконструкций до степени Sa 2 1/2 по ISO 8501-1:2007	345	0	345	м2
Окраска металлоконструкций	Очистка поверхности металлических конструкций щетками вручную	8,9	0	8,9	м2
Окраска металлоконструкций	Обеспыливание проектной поверхности металлоконструкций перед грунтованием	354	0	354	м2
Окраска металлоконструкций	Обезжиривание металлических проектных поверхностей растворителем Р5	354	0	354	м2
Окраска металлоконструкций	Устройство антикоррозионного покрытия полиуретановой эмалью "СпецПротект 109" в 2 слоя (100 мкм)	354	0	354	м2
Окраска металлоконструкций	Окраска металлических огрунтованных поверхностей: эмалью ЭП-1236	378	0	378	м2
Общестроительные работы	Общестроительные работы по благоустройству площадки: Устройство покрытия площадки из сборных бетонных плит 6К7	106	0	106	м2
Подготовительный этап	Очистка площадки от мусора	576	0	576	м2
Подготовительный этап	Отбивка штукатурки с поверхностей: стен и потолков кирпичных	650	0	650	м2
Подготовительный этап	Протравка цементной штукатурки нейтрализующим раствором (Очистка от грибка и плесени)	250,3	0	250,3	м2
Подготовительный этап	Очистка швов плит покрытия от грибка и плесени специальными химическими материалами	125	0	125	м2
Демонтажные работы	Разборка покрытий кровель: из рулонных материалов	391	0	391	м2
Демонтажные работы	Разборка покрытий полов: цементных толщиной 150 мм	391	0	391	м2
Демонтажные работы	Разборка теплоизоляции на кровле из: ваты минеральной толщиной 100 мм	391	0	391	м2
Демонтажные работы	Демонтаж покрытия систем фальшполов из ДСП панели: размером 600х600 мм	37,84	0	37,84	м2
Демонтажные работы	Демонтаж покрытия площадки из сборных бетонных плит тротуарного типа 6К7 с заполнением швов цементно-песчаной смесью 1:10	91	0	91	м2
Демонтажные работы	Демонтаж наружной облицовки поверхности стен сайдингом металлическим с каркасом и теплоизоляцией	28	0	28	м2
Демонтажные работы	Демонтаж существующей отделки помещений	1124	0	1124	м2
Демонтажные работы	Демонтаж треснувших покрытия из плиток керамических на плиточном клее Глимс-96	5	0	5	м2
Земляные работы	Устройство основания из грунта/песка с уплотнением для монтажа покрытия площадки из сборных бетонных плит 6К7	91	0	91	м2
Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: толщиной 15 мм	391	0	391	м2
Кровля (Изоляция)	Обработка поверхностей парапета и кровли противогрибковыми химическими составами	400	0	400	м2
Кровля (Изоляция)	Огрунтовка оснований из бетона или раствора под водоизоляционный кровельный ковер готовой эмульсией битумной	391	0	391	м2
Кровля (Изоляция)	Устройство пароизоляции прокладочной в один слой изола	391	0	391	м2
Кровля (Изоляция)	Утепление кровли минераловатными плитами ТЕХНОРУФ 70 толщ.120мм	391	0	391	м2
Кровля (Изоляция)	Устройство выравнивающих стяжек: цементно-песчаных толщиной 15 мм	391	0	391	м2
Кровля (Изоляция)	Устройство пароизоляции прокладочной в один слой из пергамина	391	0	391	м2
Кровля (Изоляция)	Огрунтовка оснований из бетона или раствора под водоизоляционный ковер битумной эмульсией	391	0	391	м2
Кровля (Изоляция)	Устройство рулонной кровли из 2-х слоев "Унифлекс" ТПП и 1 слоя Унифлекс ЭКП	1172	0	1172	м2
Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: добавлять на каждый 1 мм изменения толщины (добавить 10 мм до общей 25 мм)	390,6	0	390,6	м2
Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: добавлять на каждый 1 мм изменения толщины к 12-01-017-01 (добавить 45 мм для уклона)	390,6	0	390,6	м2
Кровля (Изоляция)	Установка пароизоляционного слоя из: пленки полиэтиленовой (без стекловолокнистых материалов)	160	0	160	м2
Кровельные примыкания	Устройство мелких покрытий (брандмауэры, парапеты, свесы) из листовой оцинкованной стали	228,3	0	228,3	м2
Кровельные примыкания	Герметизация узлов проходов коммуникаций в кровле герметизирующей кровельной лентой	14	0	14	м2
Стены и перегородки	Штукатурка по сетке без устройства каркаса: улучшенная стен	40	0	40	м2
Стены и перегородки	Штукатурка поверхностей внутри здания цементно-известковым раствором: простая стен	1307	0	1307	м2
Стены и перегородки	Штукатурка по сетке без устройства каркаса улучшенная стен (Объединенная противопожарная стена)	428,7	0	428,7	м2
Стеновое ограждение	Монтаж ограждающих конструкций стен из многослойных панелей заводской готовности при высоте до 50 м	31,5	0	31,5	м2
Козырьки и крыльца	Наружная облицовка стен металлосайдингом в горизонтальном исполнении по каркасу	28	0	28	м2
Козырьки и крыльца	Монтаж мк крылец с обрамлением профлистом	15	0	15	м2
Козырьки и крыльца	Устройство мелких покрытий (брандмауэры, парапеты, свесы) из листовой оцинкованной стали	12,6	0	12,6	м2
Крыльца и отмостка	Устройство плитки крылец 6К3	9	0	9	м2
Крыльца и отмостка	Покрытие площадки из сборных бетонных плит тротуарного типа 6К7 с заполнением швов цементно-песчаной смесью 1:10	91	0	91	м2
Заполнение проемов	Замена стеклопакетов оконных	6	0	6	м2
Фальшполы	Повторный монтаж покрытия полов (фальшпол) съемных металлических полов из плит размером 500х500 мм	37,84	0	37,84	м2
Полы и отделка	Демонтаж треснувших покрытия из плиток керамических на плиточном клее Глимс-96	5	0	5	м2
Полы и отделка	Устройство покрытия из плиток керамических на плиточном клее Глимс-96	5	0	5	м2
Полы и отделка	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных с красителем	35,3	0	35,3	м2
Потолочные работы	Устройство подвесных потолков типа "Армстронг" по каркасу из оцинкованного профиля	250,29	0	250,29	м2
Потолочные работы	Покрытие поверхностей грунтовкой глубокого проникновения: за 1 раз потолков	45,6	0	45,6	м2
Потолочные работы	Окраска поливинилацетаными водоэмульсионными составами простая по штукатурке: потолков	45,6	0	45,6	м2
Потолочные работы	Улучшенная окраска акриловой краской ВД-К4 Интерьер	92	0	92	м2
Внутренняя отделка	Отделка стен внутри помещений мелкозернистыми декоративными минеральными покрытиями	305	0	305	м2
Внутренняя отделка	Огрунтовка ж.б. поверхностей акриловой пропиточной грунтовкой "Интерьер" по ГОСТ 52020-2003	70	0	70	м2
Внутренняя отделка	Окраска стен водоэмульсионной краской	70	0	70	м2
Внутренняя отделка	Улучшенная окраска акриловой краской ВД-К4 Интерьер в 2 слоя	1124	0	1124	м2
Внутренняя отделка	Облицовка стен декоративным бумажно-слоистым пластиком по сплошному основанию	94,8	0	94,8	м2
Внутренняя отделка	Окраска водно-дисперсионными акриловыми составами улучшенная: по штукатурке стен	22,6	0	22,6	м2
Антикоррозийная защита	Очистка кварцевым песком: сплошных наружных поверхностей	31,6	0	31,6	м2
Антикоррозийная защита	Обеспыливание поверхности	31,6	0	31,6	м2
Антикоррозийная защита	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм: уайт-спиритом	31,6	0	31,6	м2
Антикоррозийная защита	Окраска металлических огрунтованных поверхностей: эмалью ХВ-125 (СБЭ-111 «УНИПОЛ» марки АМ в 2 слоя)	31,6	0	31,6	м2
Крыльца	Устройство покрытий из мозаичного бетона кл.В15,толщ.20мм (Скрытый конструктив площадок крылец)	6,3	0	6,3	м2
Крыльца	Шлифовка цементно-бетонных мозаичных покрытий крылец	6,3	0	6,3	м2
Потолки	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м (Подмости для ремонта штукатурки)	360	0	360	м2
Земляные работы	Устройство основания	67	0	67	м2
Фундаментные работы	Гидроизоляция боковая обмазочная праймером	55	0	55	м2
Фундаментные работы	Гидроизоляция боковая обмазочная битумная в 2 слоя	55	0	55	м2
Земляные работы	Привести планировку земли вокруг сооружения к требованиям п.4.15 СП 43.13330.2012	4	0	4	м2
Конструктивный этап	Монтаж кровельного покрытия из профилированного листа	135	0	135	м2
Промышленная АКЗ	укрытие прилегающих поверхностей при антикоррозийных работах	1161	0	1161	м2
Промышленная АКЗ	Очистка гидропескоструйным аппаратом, водой за 2 раза металлических поверхностей эстакады	1161	0	1161	м2
Промышленная АКЗ	Обеспыливание, обезжиривание металлических поверхностей растворителем Р646	1161	0	1161	м2
Промышленная АКЗ	Огрунтовка металлических поверхностей грунтовкой Цинотан за один раз (толщина слоя 80 мкм)	1161	0	1161	м2
Промышленная АКЗ	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН за 2 раза	1161	0	1161	м2
Земляные работы	Устройство основания под фундаменты Ф1 - 3шт. (усасток эстакады 5-6)	5,07	0	5,07	м2
Земляные работы	Уплотнение основания вручную - 7шт. (вдоль поз.193, поз.194)	28	0	28	м2
Земляные работы	Уплотнение основания щебеночного вручную - 7шт. (вдоль поз.193, поз.194)	28	0	28	м2
Земляные работы	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм) - 7шт. (вдоль поз.193, поз.194)	28	0	28	м2
Фундаментные работы	Обмазочная гидроизоляция фундамента Ф2 - 7шт. (вдоль поз.193, поз.194)	40,95	0	40,95	м2
Фундаментные работы	Подливка под опору колонны фундамента Ф2 - 7шт. (вдоль поз.193, поз.194)	0,438	0	0,438	м2
Фундаментные работы	Восстановительный ремонт подливок опорных площадок колонн при помощи ремонтных смесей	16	0	16	м2
Фундаментные работы	Восстановительный ремонт фундаментов при помощи ремонтных смесей (Отсутствие защитного слоя бетона)	55	0	55	м2
Фундаментные работы	Обработка анкеров антикорозийной смесью	32	0	32	м2
Земляные работы	Восстановление плодородного слоя толщ. 200мм. Ф2 - 7шт. (вдоль поз.193, поз.194)	63	0	63	м2
Земляные работы	Планировка грунта строительной площалки вручную Ф2 - 7шт. (вдоль поз.193, поз.194)	63	0	63	м2
Конструктивный этап	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м	0	0	0	м2
Конструктивный этап	Установка и разборка лесов на каждые последующие 4 м высоты помещений (высота до 8 м для работы м/к)	1000	0	1000	м2
Лестницы, площадки	Монтаж кровельного покрытия из профилированного листа	610	0	610	м2
Промышленная АКЗ	пескоструйная очистка металлоконструкций эстакады	3500	0	3500	м2
Промышленная АКЗ	обеспыливание, обезжиривание металлических поверхностей под АКЗ	3500	0	3500	м2
Промышленная АКЗ	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG (80 мкм)	3500	0	3500	м2
Промышленная АКЗ	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG (150 мкм)	3500	0	3500	м2
Промышленная АКЗ	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG (50 мкм)	3500	0	3500	м2
Подготовительный этап	Очистка участка/площадки от строительного мусора	576	0	576	м2
Подготовительный этап	Уборка помещения внутри от строительного мусора и птичьего помета (Плита пола, общая площадь 838 м2)	838	0	838	м2
Подготовительный этап	Отбивка пораженной штукатурки с поверхностей стен и потолков кирпичных (демонтаж по НЗС)	320	0	320	м2
Демонтажные работы	Демонтаж наружной облицовки поверхности стен сайдингом металлическим (Подготовка основания фасада)	280	0	280	м2
Демонтажные работы	Демонтаж доборных элементов обрамления стеновых сэндвич-панелей из оцинкованной стали	200	0	200	м2
Демонтажные работы	Демонтаж доборных элементов обрамления кровельных сэндвич-панелей из оцинкованной стали	200	0	200	м2
Демонтажные работы	Установка блоков из ПВХ в наружных и внутренних дверных проемах (демонтаж старых блоков)	7,5	0	7,5	м2
Демонтажные работы	Установка металлических дверных блоков в готовые проемы (демонтаж существующих конструкций)	11,23	0	11,23	м2
Демонтажные работы	Демонтаж треснувших покрытия из плиток керамических на плиточном клее	5	0	5	м2
Земляные работы	Уплотнение земляного грунта основания щебнем фракции 40-70 мм	28	0	28	м2
Земляные работы	Устройство основания толщиной под тротуары из щебня	280,7	0	280,7	м2
Фундаментные работы	Устройство боковой обмазочной изоляции стен и конструкций битумным праймером (Резерв НЗС)	0	0	0	м2
Фундаменты конструкций	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза (Резерв НЗС)	0	0	0	м2
Стеновое ограждение	Монтаж ограждающих конструкций стен из многослойных панелей (сэндвич-панелей) заводской готовности	31,5	0	31,5	м2
Стеновое ограждение	Устройство вентилируемых фасадов с облицовкой плитами из керамогранита с теплоизоляционным слоем	280	0	280	м2
Стеновое ограждение	Замена поврежденных утеплителя и ветрозащитной мембраны с устройством вентзазора (цоколь 1,8м)	250	0	250	м2
Стеновое ограждение	Восстановление цоколя плиточным покрытием (взамен керамической плитки с трещинами и сколами)	250	0	250	м2
Стеновое ограждение	Монтаж ограждающих конструкций внутренних стен из профилированного листа	90	0	90	м2
Кровельный этап	Огрунтовка металлических несущих балок перекрытия за один раз грунтовкой ГФ-0119	39,6	0	39,6	м2
Кровельный этап	Огнезащитное покрытие балок перекрытия терморасширяющимся огнезащитным материалом "Огракс-В-СК"	39,6	0	39,6	м2
Кровельный этап	Устройство мелких покрытий парапетов, брандмауэров и свесов из листовой оцинкованной стали	41,6	0	41,6	м2
Кровельный этап	Дополнительное устройство мелких фасонных покрытий из листовой оцинкованной стали (Доборные элементы)	8	0	8	м2
Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" с одинарным металлокаркасом глухих	177,5	0	177,5	м2
Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" под монтаж внутренних дверных блоков	177,5	0	177,5	м2
Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" глухих (Дополнительные проектные зоны)	174,8	0	174,8	м2
Заполнение проемов	Монтаж оконных блоков из алюминиевых многокамерных профилей с герметичными стеклопакетами	7,6	0	7,6	м2
Заполнение проемов	Установка металлических дверей с площадью дверного проема до 2,5 м2	2,03	0	2,03	м2
Заполнение проемов	Установка блоков из ПВХ в наружных и внутренних дверных проемах в каменных стенах	1,8	0	1,8	м2
Заполнение проемов	Установка противопожарных дверей однопольных глухих в готовые проемы	6,93	0	6,93	м2
Полы (Покрытия)	Устройство покрытий бетонных базовой толщиной 30 мм	27,5	0	27,5	м2
Полы (Покрытия)	Добавление толщины бетонного покрытия на каждые 5 мм изменения проектного слоя	27,5	0	27,5	м2
Полы (Покрытия)	Устройство покрытий бетонных толщиной 30 мм (Базовый слой пола отм. 0.000)	97,7	0	97,7	м2
Полы (Покрытия)	Устройство покрытий мозаичных терраццо толщиной 20 мм без рисунка (Специальные зоны)	12,8	0	12,8	м2
Полы (Покрытия)	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных	97,7	0	97,7	м2
Полы (Покрытия)	Устройство покрытий на цементном растворе из плиток керамических (отметка +4.300)	35,3	0	35,3	м2
Полы (Покрытия)	Устройство покрытий бетонных толщиной 30 мм (Базовый слой плиты перекрытия +4.300)	35,3	0	35,3	м2
Полы (Покрытия)	Увеличение толщины бетонного покрытия набетонки на отметке +4.300 до проектных 68 мм	35,3	0	35,3	м2
Полы (Покрытия)	Устройство покрытий мозаичных терраццо толщиной 20 мм с рисунком (Площадки крылец)	4,3	0	4,3	м2
Полы (Покрытия)	Шлифовка бетонных, металлоцементных или мозаичных покрытий крылец	4,3	0	4,3	м2
Полимерные полы	Грунтовочно-пропиточный слой полимерного наливного покрытия "УРЕДУР 500" перед финишем	541,2	0	541,2	м2
Полимерные полы	Оклейка обеспыленных бетонных поверхностей высокопрочной стеклотканью в 1 слой	541,2	0	541,2	м2
Полимерные полы	Финишное устройство покрытий полимерных наливных полов "УРЕДУР 4000"	541,2	0	541,2	м2
Потолочные работы	Устройство из ГКЛ подвесных потолков: на одноуровневом металлическом каркасе 60х27 мм (Зоны без фальшпотолка)	45,3	0	45,3	м2
Внутренняя отделка	Штукатурка по сетке без устройства каркаса улучшенная стен (Объединенная противопожарная стена)	428,7	0	428,7	м2
Внутренняя отделка	Штукатурка поверхностей внутри здания цементно-известковым или цементным раствором по камню и бетону простая стен	560	0	560	м2
Внутренняя отделка	Силикатная окраска водными составами внутри помещений по штукатурке стен (Выровненная площадь стен)	450	0	450	м2
Внутренняя отделка	Силикатная окраска водными составами внутри помещений по ГВЛВ перегородкам (Выровненная площадь стен)	388,5	0	388,5	м2
Устройство покрытий	Устройство оснований под тротуары из щебня толщиной 100 мм (Пересчитано из 100 м2)	280,7	0	280,7	м2
Устройство покрытий	Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из литой смеси толщиной 3 см	224,5	0	224,5	м2
Устройство покрытий	На каждые 0,5 см изменения толщины асфальтобетонного покрытия добавлять к расценке 27-07-001-01	0	0	0	м2
Промышленная АКЗ	Струйная очистка водой до степени Sа 2 1/2 в соответствии с ISO 8501-1:2007	129,55	0	129,55	м2
Промышленная АКЗ	Очистка поверхности металлоконструкций щетками вручную	3,32	0	3,32	м2
Промышленная АКЗ	Обеспыливание поверхности металлоконструкций перед грунтованием	132,87	0	132,87	м2
Промышленная АКЗ	Обезжиривание поверхностей металлоконструкций растворителями (Пересчитано из 100 м2)	132,9	0	132,9	м2
Промышленная АКЗ	Устройство антикоррозионного покрытия полиуретановой грунтовкой "СпецПротект 007" 1 слой (60 мкм)	132,9	0	132,9	м2
Промышленная АКЗ	Устройство антикоррозионного покрытия полиуретановой эмалью "СпецПротект 109" в 2 слоя (толщина 100 мкм)	132,9	0	132,9	м2
Леса	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных 	47	0	47	м2
Леса	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ 	68,73	0	68,73	м2
Прочие работы	Установка и разборка наружных инвентарных лесов тубчатых высотой до 16 мм для прочих отделочных работ	844	0	844	м2
Земляные работы. Разработка грунта	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых (ФДС/ГЭСН)	394	0	394	м2
Оборудование	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия	306,84	0	306,84	м2
Оборудование	Установка на люках и фланцевых соединениях кожухов изоцинкованноголиста толщ. 1мм ТЕР-2001 64	61,06	0	61,06	м2
Оборудование	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для производства теплоизоляционных работ ТЕР-2001 64	252,31	0	252,31	м2
Оборудование	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	172,54	0	172,54	м2
Монтаж - Прожекторная мачта ПМС-29,3 ( 211 по ГП)	Монтаж железобетонных конструкций: ригель РФ 3.0	0	0	0	м2
Земляные работы. Обратная засыпка. Эстакада. АС	Восстановление плодородного слоя толщ. 200мм. (14шт.х9м2)	126	0	126	м2
Земляные работы. Обратная засыпка. Эстакада. АС	Планировка грунта строительной площалки вручную (14шт.х9м2)	126	0	126	м2
Окраска	Пескоструйная очистка металлокнструкций	163	0	163	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119	163	0	163	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 в 2 слоя	163	0	163	м2
Фундаменты	"Восстановительный ремонт фундаментов при помощи ремонтных смесей (Отсутствие защитного слоя бетона) при помощи ремонтных смесей Emaco Nanocrete АР   (ремонтная смесь MAPEGROUT THIXOTROPIC)
- Ф1-13шт.х3м2 (0,5х4х1,5) =39м2
- Ф2-1шт.х3м2 (0,5х4х1,5) =3м2"	14	0	14	м2
Фундаменты	"Восстановительный ремонт подливок опорных площадок колонн
- Ф1-13шт.х0,25м2 (0,5х0,5) =3,25м2
- Ф2-1шт.х0,25м2 (0,5х0,5) =0,25м2"	3,5	0	3,5	м2
Фундаменты	Гидроизоляция боковая обмазочная битумная в 2 слоя по выравненной поверхности бетона	14	0	14	м2
Леса. Эстакада	Установка и разборка наружных инвентарных лесов высотой до 16 м: трубчатых для прочих отделочных работ	102	0	102	м2
Окраска. Эстакада. АС1	Окраска металлических огрунтованных поверхностей: эмалью ПФ-115	1600	0	1600	м2
Окраска. Эстакада. АС1	Огрунтовка металлических поверхностей за один раз: грунтовкой ГФ-0119	1600	0	1600	м2
Фундаменты Ф1, Ф2, Ф3, Ф4. Эстакада	Гидроизоляция боковая обмазочная битумная в 2 слоя по выровненной поверхности бутовой кладки, кирпичу, бетону 	312	0	312	м2
Окраска "арсет-газ". антикоррозийная защита металлоконструкций,эстакад.	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм	300	0	300	м2
Разработка грунта  эстакада	Устройство и уплотнение основания, вручную, Фм1 (2,0х2,0м.)	4	0	4	м2
Фундаменты.  Эстакада	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	2,56	0	2,56	м2
Фундаменты.  Эстакада	Гидроизоляция боковая обмазочная праймером Фм1 - 8,04м2	8,04	0	8,04	м2
Фундаменты.  Эстакада	Гидроизоляция боковая обмазочная битумная в 2 слоя Фм1 - 8,04м2	8,04	0	8,04	м2
Фундаменты.  Эстакада	Подливка под опору колонны фундамента Фм2 (0,36м2)	0,36	0	0,36	м2
Металлические Конструкции	Уплотнение основания вручную	4	0	4	м2
Металлические Конструкции	Уплотнение основания щебеночного вручную	4	0	4	м2
Металлические Конструкции	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	4	0	4	м2
Металлические Конструкции	Обмазочная гидроизоляция фундамента Ф1	10,62	0	10,62	м2
Металлические Конструкции	Подливка под опору колонны фундамента Ф1	0,36	0	0,36	м2
Металлические Конструкции	Восстановление плодородного слоя толщ. 200мм.	9	0	9	м2
Металлические Конструкции	Планировка грунта строительной площалки вручную	9	0	9	м2
Обратная Засыпка	Восстановление плодородного слоя толщ. 200мм.	57	0	57	м2
Обратная Засыпка	Планировка грунта строительной площалки вручную	57	0	57	м2
Разработка Грунта	Уплотнение основания вручную	81	0	81	м2
Фундаменты	Уплотнение основания песчаного вручную	81	0	81	м2
Фундаменты	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	73	0	73	м2
Фундаменты	Уплотнение песчаного основания и обратной засыпки вручную	81	0	81	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство изоляции слоем битумного праймера	63	0	63	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство боковой обмазочной изоляции фундаментов горячим битумом  за 2 раза	63	0	63	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Оштукатуривание цементно-церезитовая по камню и бетону	25,2	0	25,2	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство изоляции слоем битумного праймера	20	0	20	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство боковой обмазочной изоляции фундаментов горячим битумом  за 2 раза	20	0	20	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Гидроизоляция стен,2 слоями гидроизола на битумной мастике	1,1	0	1,1	м2
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Гидроизоляция стен, фундаментов горизонтальная цементная 1:3 	1,1	0	1,1	м2
Окраска	Огрунтовка металлических поверхностей грунтовкой ГФ-0199	4,2	0	4,2	м2
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПФ-115(2 слоя)	4,2	0	4,2	м2
Козырек над кабельной эстакадой	Монтаж кровельного покрытия из профилированного листа 	390,6	0	390,6	м2
Козырек над кабельной эстакадой	Монтаж профлиста на эстакаду	391	0	391	м2
Леса	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м ТЕР-2001 64	27	0	27	м2
Окраска "арсет-газ"	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG толщиной 80 мкм	195	0	195	м2
Окраска "арсет-газ"	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG толщиной 150 мкм	195	0	195	м2
Окраска "арсет-газ"	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм	195	0	195	м2
Свайное основание	Окраска грунт-эмалью СБЭ-111 Унипол марки Б по ТУ2312-001-59846005-2003 (первый слой, толщиной 75 мкм)	16,4	0	16,4	м2
Свайное основание	Окраска грунт-эмалью СБЭ-111 Унипол марки Б по ТУ2312-001-59846005-2003 (последующий слой, толщиной 75 мкм) 	16,4	0	16,4	м2
Бетонные ж/б конструкции	Устройство изоляции слоем битумного праймера	214	0	214	м2
Бетонные ж/б конструкции	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза	214	0	214	м2
Бетонные ж/б конструкции	Улучшенная штукатурка фасадов цементно-известковым раствором по камню стен	18	0	18	м2
Леса	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м ТЕР-2001 64	17	0	17	м2
Леса	Установка и разборка внутренних трубчатых инвентарных лесов на каждые последующие 4 м высоты помещений добавлять к расценке 08-07-002-01	17	0	17	м2
Металлические констукции сталь С255 ГОСТ 27772-88	Устройство подливки толщиной 20 мм	16	0	16	м2
Металлические констукции сталь С255 ГОСТ 27772-88	На каждые 10 мм изменения толщины добавлять или исключать к расценке 06-01-013-01	16	0	16	м2
